record,record_id,species_common_name,species_abbreviation,species_scientific_name,count,lat
43450,86012073,Shy / white-capped / Salvin's /  Chatham mollymawk,THACAUSALERE,Thalassarche cauta / salvini / eremita,5,-42.15
43451,86012073,Cape petrel,DAPCAP,Daption capense,4,-42.15
43452,86012073,Prion ,PACSP,Pachyptila sp,3,-42.15
43453,86012073,Westland petrel,PROWES,Procellaria westlandica,40,-42.15
43454,86012073,Sooty shearwater,PUFGRI,Puffinus griseus,8,-42.15
43455,86012073,Grey-backed storm petrel,GARNER,Garrodia nereis,4,-42.15
43456,86012074,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-42.15
43457,86012074,Black-browed albatross sensu lato,DIOIMPMEL,Diomedea impavida / melanophrys,2,-42.15
43458,86012074,Shy / white-capped / Salvin's /  Chatham mollymawk,THACAUSALERE,Thalassarche cauta / salvini / eremita,8,-42.15
43459,86012074,Cape petrel,DAPCAP,Daption capense,8,-42.15
43460,86012074,Prion ,PACSP,Pachyptila sp,6,-42.15
43461,86012074,Westland petrel,PROWES,Procellaria westlandica,48,-42.15
43462,86012074,Sooty shearwater,PUFGRI,Puffinus griseus,6,-42.15
43463,86012074,Grey-backed storm petrel,GARNER,Garrodia nereis,3,-42.15
43464,86012075,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-42.15
43465,86012075,Black-browed albatross sensu lato,DIOIMPMEL,Diomedea impavida / melanophrys,3,-42.15
43466,86012075,Shy / white-capped / Salvin's /  Chatham mollymawk,THACAUSALERE,Thalassarche cauta / salvini / eremita,8,-42.15
43467,86012075,Cape petrel,DAPCAP,Daption capense,8,-42.15
43468,86012075,Prion ,PACSP,Pachyptila sp,4,-42.15
43469,86012075,Westland petrel,PROWES,Procellaria westlandica,54,-42.15
43470,86012075,Sooty shearwater,PUFGRI,Puffinus griseus,4,-42.15
43471,86012075,Grey-backed storm petrel,GARNER,Garrodia nereis,2,-42.15
43472,86012076,Shy / white-capped / Salvin's /  Chatham mollymawk,THACAUSALERE,Thalassarche cauta / salvini / eremita,3,-42.1
43473,86012076,Prion ,PACSP,Pachyptila sp,3,-42.1
43474,86012076,Westland petrel,PROWES,Procellaria westlandica,2,-42.1
43475,86012076,Sooty shearwater,PUFGRI,Puffinus griseus,500,-42.1
43476,86012076,Grey-backed storm petrel,GARNER,Garrodia nereis,2,-42.1
43477,86012077,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-42.06666666666667
43478,86012077,Shy / white-capped / Salvin's /  Chatham mollymawk,THACAUSALERE,Thalassarche cauta / salvini / eremita,2,-42.06666666666667
43479,86012077,Prion ,PACSP,Pachyptila sp,12,-42.06666666666667
